Date,History,Date00,REF,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0
35741,110.9999924,35741,108.6806488,35741,59.93999588,35741,122.0999916,35741,136.5299906,35741,108.7799925,35741,73.25999496,35741,98.78999321,35741,88.7999939,35741,133.1999908,35741,135.4199907,35741,124.3199915,35741,55.49999619,35741,136.0859906,35741,130.979991,35741,77.69999466,35741,126.5399913,35741,135.6419907,35741,138.7499905,35741,137.6399905,35741,66.59999542,35741,166.4999886,35741,79.91999451,35741,140.4704903,35741,139.8599904,35741,61.0499958,35741,138.1949905,35741,140.4149903,35741,117.6599919,35741,31.07999786,35741,128.7599911,35741,99.89999313
35744,110.9999924,35744,108.6341934,35744,59.93999588,35744,122.0999916,35744,136.5299906,35744,108.7799925,35744,73.25999496,35744,98.78999321,35744,88.7999939,35744,133.1999908,35744,135.4199907,35744,124.3199915,35744,55.49999619,35744,136.0859906,35744,130.979991,35744,77.69999466,35744,126.5399913,35744,135.6419907,35744,138.7499905,35744,137.6399905,35744,66.59999542,35744,166.4999886,35744,79.91999451,35744,140.4704903,35744,139.8599904,35744,61.0499958,35744,138.1949905,35744,140.4149903,35744,117.6599919,35744,31.07999786,35744,128.7599911,35744,99.89999313
35748,110.9999924,35748,108.5879135,35748,59.93999588,35748,122.0999916,35748,136.5299906,35748,108.7799925,35748,73.25999496,35748,98.78999321,35748,88.7999939,35748,133.1999908,35748,135.4199907,35748,124.3199915,35748,55.49999619,35748,136.0859906,35748,130.979991,35748,77.69999466,35748,126.5399913,35748,135.6419907,35748,138.7499905,35748,137.6399905,35748,66.59999542,35748,166.4999886,35748,79.91999451,35748,140.4704903,35748,139.8599904,35748,61.0499958,35748,138.1949905,35748,140.4149903,35748,117.6599919,35748,31.07999786,35748,128.7599911,35748,99.89999313
35756.5,113.303833,35756.5,108.4939194,35756.5,61.18406982,35756.5,124.6342163,35756.5,139.3637146,35756.5,111.0377563,35756.5,74.78052979,35756.5,100.8404114,35756.5,90.64306641,35756.5,135.9645996,35756.5,138.2306763,35756.5,126.900293,35756.5,56.6519165,35756.5,138.9104993,35756.5,133.6985229,35756.5,79.31268311,35756.5,129.1663696,35756.5,138.4572839,35756.5,141.6297913,35756.5,140.4967529,35756.5,67.9822998,35756.5,169.9557495,35756.5,81.57875977,35756.5,143.3860007,35756.5,142.7628296,35756.5,62.31710815,35756.5,141.0632721,35756.5,143.3293488,35756.5,120.102063,35756.5,31.72507324,35756.5,131.4324463,35756.5,101.9734497
35765,113.303833,35765,108.4115982,35765,61.18406982,35765,124.6342163,35765,139.3637146,35765,111.0377563,35765,74.78052979,35765,100.8404114,35765,90.64306641,35765,135.9645996,35765,138.2306763,35765,126.900293,35765,56.6519165,35765,138.9104993,35765,133.6985229,35765,79.31268311,35765,129.1663696,35765,138.4572839,35765,141.6297913,35765,140.4967529,35765,67.9822998,35765,169.9557495,35765,81.57875977,35765,143.3860007,35765,142.7628296,35765,62.31710815,35765,141.0632721,35765,143.3293488,35765,120.102063,35765,31.72507324,35765,131.4324463,35765,101.9734497
35773,117.4296341,35773,108.2991867,35773,63.41200241,35773,129.1725975,35773,144.4384499,35773,115.0810414,35773,77.5035585,35773,104.5123743,35773,93.94370728,35773,140.9155609,35773,143.2641536,35773,131.5211902,35773,58.71481705,35773,143.9687314,35773,138.5669682,35773,82.20074387,35773,133.8697829,35773,143.4990129,35773,146.7870426,35773,145.6127463,35773,70.45778046,35773,176.1444511,35773,84.54933655,35773,148.6072019,35773,147.961339,35773,64.58629875,35773,146.1998944,35773,148.5484871,35773,124.4754121,35773,32.88029755,35773,136.2183755,35773,105.6866707
35781,117.4296341,35781,108.1711655,35781,63.41200241,35781,129.1725975,35781,144.4384499,35781,115.0810414,35781,77.5035585,35781,104.5123743,35781,93.94370728,35781,140.9155609,35781,143.2641536,35781,131.5211902,35781,58.71481705,35781,143.9687314,35781,138.5669682,35781,82.20074387,35781,133.8697829,35781,143.4990129,35781,146.7870426,35781,145.6127463,35781,70.45778046,35781,176.1444511,35781,84.54933655,35781,148.6072019,35781,147.961339,35781,64.58629875,35781,146.1998944,35781,148.5484871,35781,124.4754121,35781,32.88029755,35781,136.2183755,35781,105.6866707
35788.5,118.7556076,35788.5,107.9639282,35788.5,64.12802811,35788.5,130.6311684,35788.5,146.0693974,35788.5,116.3804955,35788.5,78.37870102,35788.5,105.6924908,35788.5,95.00448608,35788.5,142.5067291,35788.5,144.8818413,35788.5,133.0062805,35788.5,59.3778038,35788.5,145.5943749,35788.5,140.131617,35788.5,83.12892532,35788.5,135.3813927,35788.5,145.1193525,35788.5,148.4445095,35788.5,147.2569534,35788.5,71.25336456,35788.5,178.1334114,35788.5,85.50403748,35788.5,150.2852214,35788.5,149.6320656,35788.5,65.31558418,35788.5,147.8507315,35788.5,150.2258436,35788.5,125.8809441,35788.5,33.25157013,35788.5,137.7565048,35788.5,106.8800468
35796,118.7556076,35796,107.6383057,35796,64.12802811,35796,130.6311684,35796,146.0693974,35796,116.3804955,35796,78.37870102,35796,105.6924908,35796,95.00448608,35796,142.5067291,35796,144.8818413,35796,133.0062805,35796,59.3778038,35796,145.5943749,35796,140.131617,35796,83.12892532,35796,135.3813927,35796,145.1193525,35796,148.4445095,35796,147.2569534,35796,71.25336456,35796,178.1334114,35796,85.50403748,35796,150.2852214,35796,149.6320656,35796,65.31558418,35796,147.8507315,35796,150.2258436,35796,125.8809441,35796,33.25157013,35796,137.7565048,35796,106.8800468
35806,120.4353256,35806,107.7384949,35806,65.03507584,35806,132.4788582,35806,148.1354505,35806,118.0266191,35806,79.48731491,35806,107.1874398,35806,96.3482605,35806,144.5223907,35806,146.9310973,35806,134.8875647,35806,60.21766281,35806,147.6537092,35806,142.1136842,35806,84.30472794,35806,137.2962712,35806,147.1719679,35806,150.544157,35806,149.3398038,35806,72.26119537,35806,180.6529884,35806,86.71343445,35806,152.4109046,35806,151.7485103,35806,66.23942909,35806,149.9419804,35806,152.3506869,35806,127.6614452,35806,33.72189117,35806,139.7049777,35806,108.3917931
35816,120.4353256,35816,107.5113983,35816,65.03507584,35816,132.4788582,35816,148.1354505,35816,118.0266191,35816,79.48731491,35816,107.1874398,35816,96.3482605,35816,144.5223907,35816,146.9310973,35816,134.8875647,35816,60.21766281,35816,147.6537092,35816,142.1136842,35816,84.30472794,35816,137.2962712,35816,147.1719679,35816,150.544157,35816,149.3398038,35816,72.26119537,35816,180.6529884,35816,86.71343445,35816,152.4109046,35816,151.7485103,35816,66.23942909,35816,149.9419804,35816,152.3506869,35816,127.6614452,35816,33.72189117,35816,139.7049777,35816,108.3917931
