Date,History,Date00,REF,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0
35741,482594.6875,35741,475999.75,35741,260601.1313,35741,530854.1563,35741,593591.4656,35741,477768.7406,35741,318512.4938,35741,429509.2719,35741,386075.75,35741,579113.625,35741,588765.5188,35741,540506.05,35741,241297.3438,35741,591661.0869,35741,569461.7313,35741,337816.2813,35741,550157.9438,35741,589730.7081,35741,603243.3594,35741,598417.4125,35741,289556.8125,35741,723892.0313,35741,347468.175,35741,610723.577,35741,608069.3063,35741,265427.0781,35741,600830.3859,35741,610482.2797,35741,511550.3688,35741,135126.5125,35741,559809.8375,35741,434335.2188
35744,482594.6875,35744,475878.75,35744,260601.1313,35744,530854.1563,35744,593591.4656,35744,477768.7406,35744,318512.4938,35744,429509.2719,35744,386075.75,35744,579113.625,35744,588765.5188,35744,540506.05,35744,241297.3438,35744,591661.0869,35744,569461.7313,35744,337816.2813,35744,550157.9438,35744,589730.7081,35744,603243.3594,35744,598417.4125,35744,289556.8125,35744,723892.0313,35744,347468.175,35744,610723.577,35744,608069.3063,35744,265427.0781,35744,600830.3859,35744,610482.2797,35744,511550.3688,35744,135126.5125,35744,559809.8375,35744,434335.2188
35748,482594.6875,35748,475756.3125,35748,260601.1313,35748,530854.1563,35748,593591.4656,35748,477768.7406,35748,318512.4938,35748,429509.2719,35748,386075.75,35748,579113.625,35748,588765.5188,35748,540506.05,35748,241297.3438,35748,591661.0869,35748,569461.7313,35748,337816.2813,35748,550157.9438,35748,589730.7081,35748,603243.3594,35748,598417.4125,35748,289556.8125,35748,723892.0313,35748,347468.175,35748,610723.577,35748,608069.3063,35748,265427.0781,35748,600830.3859,35748,610482.2797,35748,511550.3688,35748,135126.5125,35748,559809.8375,35748,434335.2188
35756.5,634722.75,35756.5,617644.4375,35756.5,342750.285,35756.5,698195.025,35756.5,780708.9825,35756.5,628375.5225,35756.5,418917.015,35756.5,564903.2475,35756.5,507778.2,35756.5,761667.3,35756.5,774361.755,35756.5,710889.48,35756.5,317361.375,35756.5,778170.0915,35756.5,748972.845,35756.5,444305.925,35756.5,723583.935,35756.5,775631.2005,35756.5,793403.4375,35756.5,787056.21,35756.5,380833.65,35756.5,952084.125,35756.5,457000.38,35756.5,803241.6401,35756.5,799750.665,35756.5,349097.5125,35756.5,790229.8238,35756.5,802924.2788,35756.5,672806.115,35756.5,177722.37,35756.5,736278.39,35756.5,571250.475
35765,634722.75,35765,617369.875,35765,342750.285,35765,698195.025,35765,780708.9825,35765,628375.5225,35765,418917.015,35765,564903.2475,35765,507778.2,35765,761667.3,35765,774361.755,35765,710889.48,35765,317361.375,35765,778170.0915,35765,748972.845,35765,444305.925,35765,723583.935,35765,775631.2005,35765,793403.4375,35765,787056.21,35765,380833.65,35765,952084.125,35765,457000.38,35765,803241.6401,35765,799750.665,35765,349097.5125,35765,790229.8238,35765,802924.2788,35765,672806.115,35765,177722.37,35765,736278.39,35765,571250.475
35773,882240,35773,839503.125,35773,476409.6,35773,970464,35773,1085155.2,35773,873417.6,35773,582278.4,35773,785193.6,35773,705792,35773,1058688,35773,1076332.8,35773,988108.8,35773,441120,35773,1081626.24,35773,1041043.2,35773,617568,35773,1005753.6,35773,1078097.28,35773,1102800,35773,1093977.6,35773,529344,35773,1323360,35773,635212.8,35773,1116474.72,35773,1111622.4,35773,485232,35773,1098388.8,35773,1116033.6,35773,935174.4,35773,247027.2,35773,1023398.4,35773,794016
35781,882240,35781,838936.9375,35781,476409.6,35781,970464,35781,1085155.2,35781,873417.6,35781,582278.4,35781,785193.6,35781,705792,35781,1058688,35781,1076332.8,35781,988108.8,35781,441120,35781,1081626.24,35781,1041043.2,35781,617568,35781,1005753.6,35781,1078097.28,35781,1102800,35781,1093977.6,35781,529344,35781,1323360,35781,635212.8,35781,1116474.72,35781,1111622.4,35781,485232,35781,1098388.8,35781,1116033.6,35781,935174.4,35781,247027.2,35781,1023398.4,35781,794016
35788.5,1306658.5,35788.5,1232678,35788.5,705595.59,35788.5,1437324.35,35788.5,1607189.955,35788.5,1293591.915,35788.5,862394.61,35788.5,1162926.065,35788.5,1045326.8,35788.5,1567990.2,35788.5,1594123.37,35788.5,1463457.52,35788.5,653329.25,35788.5,1601963.321,35788.5,1541857.03,35788.5,914660.95,35788.5,1489590.69,35788.5,1596736.687,35788.5,1633323.125,35788.5,1620256.54,35788.5,783995.1,35788.5,1959987.75,35788.5,940794.12,35788.5,1653576.332,35788.5,1646389.71,35788.5,718662.175,35788.5,1626789.833,35788.5,1652923.003,35788.5,1385058.01,35788.5,365864.38,35788.5,1515723.86,35788.5,1175992.65
35796,1306658.5,35796,1229942.25,35796,705595.59,35796,1437324.35,35796,1607189.955,35796,1293591.915,35796,862394.61,35796,1162926.065,35796,1045326.8,35796,1567990.2,35796,1594123.37,35796,1463457.52,35796,653329.25,35796,1601963.321,35796,1541857.03,35796,914660.95,35796,1489590.69,35796,1596736.687,35796,1633323.125,35796,1620256.54,35796,783995.1,35796,1959987.75,35796,940794.12,35796,1653576.332,35796,1646389.71,35796,718662.175,35796,1626789.833,35796,1652923.003,35796,1385058.01,35796,365864.38,35796,1515723.86,35796,1175992.65
