Date,History,Date00,REF,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0
35741,482594.6875,35741,475999.75,35741,260601.1313,35741,530854.1563,35741,593591.4656,35741,472942.7938,35741,318512.4938,35741,429509.2719,35741,386075.75,35741,579113.625,35741,588765.5188,35741,540506.05,35741,241297.3438,35741,591661.0869,35741,569461.7313,35741,337816.2813,35741,550157.9438,35741,589730.7081,35741,603243.3594,35741,598417.4125,35741,289556.8125,35741,723892.0313,35741,347468.175,35741,610723.577,35741,608069.3063,35741,265427.0781,35741,600830.3859,35741,610482.2797,35741,511550.3688,35741,135126.5125,35741,559809.8375,35741,434335.2188
35744,1930378.75,35744,1903636,35744,1042404.525,35744,2123416.625,35744,2374365.863,35744,1891771.175,35744,1274049.975,35744,1718037.088,35744,1544303,35744,2316454.5,35744,2355062.075,35744,2162024.2,35744,965189.375,35744,2366644.348,35744,2277846.925,35744,1351265.125,35744,2200631.775,35744,2358922.833,35744,2412973.438,35744,2393669.65,35744,1158227.25,35744,2895568.125,35744,1389872.7,35744,2442894.308,35744,2432277.225,35744,1061708.313,35744,2403321.544,35744,2441929.119,35744,2046201.475,35744,540506.05,35744,2239239.35,35744,1737340.875
35748,3860757.5,35748,3806661.25,35748,2084809.05,35748,4246833.25,35748,4748731.725,35748,3783542.35,35748,2548099.95,35748,3436074.175,35748,3088606,35748,4632909,35748,4710124.15,35748,4324048.4,35748,1930378.75,35748,4733288.695,35748,4555693.85,35748,2702530.25,35748,4401263.55,35748,4717845.665,35748,4825946.875,35748,4787339.3,35748,2316454.5,35748,5791136.25,35748,2779745.4,35748,4885788.616,35748,4864554.45,35748,2123416.625,35748,4806643.088,35748,4883858.238,35748,4092402.95,35748,1081012.1,35748,4478478.7,35748,3474681.75
35756.5,9255901,35756.5,9056639,35756.5,4998186.54,35756.5,10181491.1,35756.5,11384758.23,35756.5,9070782.98,35756.5,6108894.66,35756.5,8237751.89,35756.5,7404720.8,35756.5,11107081.2,35756.5,11292199.22,35756.5,10366609.12,35756.5,4627950.5,35756.5,11347734.63,35756.5,10921963.18,35756.5,6479130.7,35756.5,10551727.14,35756.5,11310711.02,35756.5,11569876.25,35756.5,11477317.24,35756.5,5553540.6,35756.5,13883851.5,35756.5,6664248.72,35756.5,11713342.72,35756.5,11662435.26,35756.5,5090745.55,35756.5,11523596.75,35756.5,11708714.77,35756.5,9811255.06,35756.5,2591652.28,35756.5,10736845.16,35756.5,8330310.9
35765,14651044,35765,14304283,35765,7911563.76,35765,16116148.4,35765,18020784.12,35765,14358023.12,35765,9669689.04,35765,13039429.16,35765,11720835.2,35765,17581252.8,35765,17874273.68,35765,16409169.28,35765,7325522,35765,17962179.94,35765,17288231.92,35765,10255730.8,35765,16702190.16,35765,17903575.77,35765,18313805,35765,18167294.56,35765,8790626.4,35765,21976566,35765,10548751.68,35765,18540896.18,35765,18460315.44,35765,8058074.2,35765,18240549.78,35765,18533570.66,35765,15530106.64,35765,4102292.32,35765,16995211.04,35765,13185939.6
35773,21708964,35773,21020308,35773,11722840.56,35773,23879860.4,35773,26702025.72,35773,21274784.72,35773,14327916.24,35773,19320977.96,35773,17367171.2,35773,26050756.8,35773,26484936.08,35773,24314039.68,35773,10854482,35773,26615189.86,35773,25616577.52,35773,15196274.8,35773,24748218.96,35773,26528354.01,35773,27136205,35773,26919115.36,35773,13025378.4,35773,32563446,35773,15630454.08,35773,27472693.94,35773,27353294.64,35773,11939930.2,35773,27027660.18,35773,27461839.46,35773,23011501.84,35773,6078509.92,35773,25182398.24,35773,19538067.6
35781,28766884,35781,27731804,35781,15534117.36,35781,31643572.4,35781,35383267.32,35781,28191546.32,35781,18986143.44,35781,25602526.76,35781,23013507.2,35781,34520260.8,35781,35095598.48,35781,32218910.08,35781,14383442,35781,35268199.78,35781,33944923.12,35781,20136818.8,35781,32794247.76,35781,35153132.25,35781,35958605,35781,35670936.16,35781,17260130.4,35781,43150326,35781,20712156.48,35781,36404491.7,35781,36246273.84,35781,15821786.2,35781,35814770.58,35781,36390108.26,35781,30492897.04,35781,8054727.52,35781,33369585.44,35781,25890195.6
35788.5,38566824,35788.5,36976888,35788.5,20826084.96,35788.5,42423506.4,35788.5,47437193.52,35788.5,37795487.52,35788.5,25454103.84,35788.5,34324473.36,35788.5,30853459.2,35788.5,46280188.8,35788.5,47051525.28,35788.5,43194842.88,35788.5,19283412,35788.5,47282926.22,35788.5,45508852.32,35788.5,26996776.8,35788.5,43966179.36,35788.5,47128658.93,35788.5,48208530,35788.5,47822861.76,35788.5,23140094.4,35788.5,57850236,35788.5,27768113.28,35788.5,48806315.77,35788.5,48594198.24,35788.5,21211753.2,35788.5,48015695.88,35788.5,48787032.36,35788.5,40880833.44,35788.5,10798710.72,35788.5,44737515.84,35788.5,34710141.6
35796,48366764,35796,46201456,35796,26118052.56,35796,53203440.4,35796,59491119.72,35796,47399428.72,35796,31922064.24,35796,43046419.96,35796,38693411.2,35796,58040116.8,35796,59007452.08,35796,54170775.68,35796,24183382,35796,59297652.66,35796,57072781.52,35796,33856734.8,35796,55138110.96,35796,59104185.61,35796,60458455,35796,59974787.36,35796,29020058.4,35796,72550146,35796,34824070.08,35796,61208139.84,35796,60942122.64,35796,26601720.2,35796,60216621.18,35796,61183956.46,35796,51268769.84,35796,13542693.92,35796,56105446.24,35796,43530087.6
35806,67982744,35806,64521096,35806,36710681.76,35806,74781018.4,35806,83618775.12,35806,66623089.12,35806,44868611.04,35806,60504642.16,35806,54386195.2,35806,81579292.8,35806,82938947.68,35806,76140673.28,35806,33991372,35806,83346844.14,35806,80219637.92,35806,47587920.8,35806,77500328.16,35806,83074913.17,35806,84978430,35806,84298602.56,35806,40789646.4,35806,101974116,35806,48947575.68,35806,86032162.53,35806,85658257.44,35806,37390509.2,35806,84638516.28,35806,85998171.16,35806,72061708.64,35806,19035168.32,35806,78859983.04,35806,61184469.6
35816,87598736,35816,82820992,35816,47303317.44,35816,96358609.6,35816,107746445.3,35816,85846761.28,35816,57815165.76,35816,77962875.04,35816,70078988.8,35816,105118483.2,35816,106870457.9,35816,98110584.32,35816,43799368,35816,107396050.3,35816,103366508.5,35816,61319115.2,35816,99862559.04,35816,107045655.4,35816,109498420,35816,108622432.6,35816,52559241.6,35816,131398104,35816,63071089.92,35816,110856200.4,35816,110374407.4,35816,48179304.8,35816,109060426.3,35816,110812401,35816,92854660.16,35816,24527646.08,35816,101614533.8,35816,78838862.4
35821.5,98387528,35821.5,92878112,35821.5,53129265.12,35821.5,108226280.8,35821.5,121016659.4,35821.5,96419777.44,35821.5,64935768.48,35821.5,87564899.92,35821.5,78710022.4,35821.5,118065033.6,35821.5,120032784.2,35821.5,110194031.4,35821.5,49193764,35821.5,120623109.3,35821.5,116097283,35821.5,68871269.6,35821.5,112161781.9,35821.5,120229559.2,35821.5,122984410,35821.5,122000534.7,35821.5,59032516.8,35821.5,147581292,35821.5,70839020.16,35821.5,124509416.7,35821.5,123968285.3,35821.5,54113140.4,35821.5,122492472.4,35821.5,124460222.9,35821.5,104290779.7,35821.5,27548507.84,35821.5,114129532.5,35821.5,88548775.2
35827,109176320,35827,102923576,35827,58955212.8,35827,120093952,35827,134286873.6,35827,106992793.6,35827,72056371.2,35827,97166924.8,35827,87341056,35827,131011584,35827,133195110.4,35827,122277478.4,35827,54588160,35827,133850168.3,35827,128828057.6,35827,76423424,35827,124461004.8,35827,133413463,35827,136470400,35827,135378636.8,35827,65505792,35827,163764480,35827,78606950.4,35827,138162633,35827,137562163.2,35827,60046976,35827,135924518.4,35827,138108044.8,35827,115726899.2,35827,30569369.6,35827,126644531.2,35827,98258688
35837,110723064,35837,104336760,35837,59790454.56,35837,121795370.4,35837,136189368.7,35837,108508602.7,35837,73077222.24,35837,98543526.96,35837,88578451.2,35837,132867676.8,35837,135082138.1,35837,124009831.7,35837,55361532,35837,135746476.5,35837,130653215.5,35837,77506144.8,35837,126224293,35837,135303584.2,35837,138403830,35837,137296599.4,35837,66433838.4,35837,166084596,35837,79720606.08,35837,140120037.5,35837,139511060.6,35837,60897685.2,35837,137850214.7,35837,140064676,35837,117366447.8,35837,31002457.92,35837,128438754.2,35837,99650757.6
35846,112115144,35846,105611848,35846,60542177.76,35846,123326658.4,35846,137901627.1,35846,109872841.1,35846,73995995.04,35846,99782478.16,35846,89692115.2,35846,134538172.8,35846,136780475.7,35846,125568961.3,35846,56057572,35846,137453166.5,35846,132295869.9,35846,78480600.8,35846,127811264.2,35846,137004706,35846,140143930,35846,139022778.6,35846,67269086.4,35846,168172716,35846,80722903.68,35846,141881714.7,35846,141265081.4,35846,61663329.2,35846,139583354.3,35846,141825657.2,35846,118842052.6,35846,31392240.32,35846,130053567,35846,100903629.6
35855,113507216,35855,106888240,35855,61293896.64,35855,124857937.6,35855,139613875.7,35855,111237071.7,35855,74914762.56,35855,101021422.2,35855,90805772.8,35855,136208659.2,35855,138478803.5,35855,127128081.9,35855,56753608,35855,139159846.8,35855,133938514.9,35855,79455051.2,35855,129398226.2,35855,138705818,35855,141884020,35855,140748947.8,35855,68104329.6,35855,170260824,35855,81725195.52,35855,143643381.8,35855,143019092.2,35855,62428968.8,35855,141316483.9,35855,143586628.2,35855,120317649,35855,31782020.48,35855,131668370.6,35855,102156494.4
35865,129547744,35865,120212568,35865,69955781.76,35865,142502518.4,35865,159343725.1,35865,126956789.1,35865,85501511.04,35865,115297492.2,35865,103638195.2,35865,155457292.8,35865,158048247.7,35865,145093473.3,35865,64773872,35865,158825534.1,35865,152866337.9,35865,90683420.8,35865,147684428.2,35865,158307343.2,35865,161934680,35865,160639202.6,35865,77728646.4,35865,194321616,35865,93274375.68,35865,163942670,35865,163230157.4,35865,71251259.2,35865,161286941.3,35865,163877896.2,35865,137320608.6,35865,36273368.32,35865,150275383,35865,116592969.6
35874,143984224,35874,132197864,35874,77751480.96,35874,158382646.4,35874,177100595.5,35874,141104539.5,35874,95029587.84,35874,128145959.4,35874,115187379.2,35874,172781068.8,35874,175660753.3,35874,161262330.9,35874,71992112,35874,176524658.6,35874,169901384.3,35874,100788956.8,35874,164142015.4,35874,175948721.7,35874,179980280,35874,178540437.8,35874,86390534.4,35874,215976336,35874,103668641.3,35874,182212035.5,35874,181420122.2,35874,79191323.2,35874,179260358.9,35874,182140043.4,35874,152623277.4,35874,40315582.72,35874,167021699.8,35874,129585801.6
35883,158420704,35883,144158176,35883,85547180.16,35883,174262774.4,35883,194857465.9,35883,155252289.9,35883,104557664.6,35883,140994426.6,35883,126736563.2,35883,190104844.8,35883,193273258.9,35883,177431188.5,35883,79210352,35883,194223783.1,35883,186936430.7,35883,110894492.8,35883,180599602.6,35883,193590100.3,35883,198025880,35883,196441673,35883,95052422.4,35883,237631056,35883,114062906.9,35883,200481400.9,35883,199610087,35883,87131387.2,35883,197233776.5,35883,200402190.6,35883,167925946.2,35883,44357797.12,35883,183768016.6,35883,142578633.6
35884,160806464,35884,146096240,35884,86835490.56,35884,176887110.4,35884,197791950.7,35884,157590334.7,35884,106132266.2,35884,143117753,35884,128645171.2,35884,192967756.8,35884,196183886.1,35884,180103239.7,35884,80403232,35884,197148724.9,35884,189751627.5,35884,112564524.8,35884,183319369,35884,196505499,35884,201008080,35884,199400015.4,35884,96483878.4,35884,241209696,35884,115780654.1,35884,203500580.2,35884,202616144.6,35884,88443555.2,35884,200204047.7,35884,203420177,35884,170454851.8,35884,45025809.92,35884,186535498.2,35884,144725817.6
35886,166105392,35886,150411008,35886,89696911.68,35886,182715931.2,35886,204309632.2,35886,162783284.2,35886,109629558.7,35886,147833798.9,35886,132884313.6,35886,199326470.4,35886,202648578.2,35886,186038039,35886,83052696,35886,203645210.6,35886,196004362.6,35886,116273774.4,35886,189360146.9,35886,202980789,35886,207631740,35886,205970686.1,35886,99663235.2,35886,249158088,35886,119595882.2,35886,210206373.6,35886,209292793.9,35886,91357965.6,35886,206801213,35886,210123320.9,35886,176071715.5,35886,46509509.76,35886,192682254.7,35886,149494852.8
