Date,History,Date00,REF,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0
35741,4347.700195,35741,4379.802246,35741,2347.758105,35741,4782.470215,35741,5347.67124,35741,0,35741,2869.482129,35741,3869.453174,35741,3478.160156,35741,5217.240234,35741,5304.194238,35741,4869.424219,35741,2173.850098,35741,5330.280439,35741,5130.28623,35741,3043.390137,35741,4956.378223,35741,5312.889639,35741,5434.625244,35741,5391.148242,35741,2608.620117,35741,6521.550293,35741,3130.344141,35741,5502.014597,35741,5478.102246,35741,2391.235107,35741,5412.886743,35741,5499.840747,35741,4608.562207,35741,1217.356055,35741,5043.332227,35741,3912.930176
35744,4347.700195,35744,4380.561523,35744,2347.758105,35744,4782.470215,35744,5347.67124,35744,4260.746191,35744,2869.482129,35744,3869.453174,35744,3478.160156,35744,5217.240234,35744,5304.194238,35744,4869.424219,35744,2173.850098,35744,5330.280439,35744,5130.28623,35744,3043.390137,35744,4956.378223,35744,5312.889639,35744,5434.625244,35744,5391.148242,35744,2608.620117,35744,6521.550293,35744,3130.344141,35744,5502.014597,35744,5478.102246,35744,2391.235107,35744,5412.886743,35744,5499.840747,35744,4608.562207,35744,1217.356055,35744,5043.332227,35744,3912.930176
35748,4347.700195,35748,4381.300781,35748,2347.758105,35748,4782.470215,35748,5347.67124,35748,4260.746191,35748,2869.482129,35748,3869.453174,35748,3478.160156,35748,5217.240234,35748,5304.194238,35748,4869.424219,35748,2173.850098,35748,5330.280439,35748,5130.28623,35748,3043.390137,35748,4956.378223,35748,5312.889639,35748,5434.625244,35748,5391.148242,35748,2608.620117,35748,6521.550293,35748,3130.344141,35748,5502.014597,35748,5478.102246,35748,2391.235107,35748,5412.886743,35748,5499.840747,35748,4608.562207,35748,1217.356055,35748,5043.332227,35748,3912.930176
35756.5,5601.953125,35756.5,5692.894531,35756.5,3025.054688,35756.5,6162.148438,35756.5,6890.402344,35756.5,4260.746191,35756.5,3697.289063,35756.5,4985.738281,35756.5,4481.5625,35756.5,6722.34375,35756.5,6834.382813,35756.5,6274.1875,35756.5,2800.976563,35756.5,6867.994531,35756.5,6610.304688,35756.5,3921.367188,35756.5,6386.226563,35756.5,6845.586719,35756.5,7002.441406,35756.5,6946.421875,35756.5,3361.171875,35756.5,8402.929688,35756.5,4033.40625,35756.5,7089.27168,35756.5,7058.460938,35756.5,3081.074219,35756.5,6974.431641,35756.5,7086.470703,35756.5,5938.070313,35756.5,1568.546875,35756.5,6498.265625,35756.5,5041.757813
35765,5601.953125,35765,5694.68457,35765,3025.054688,35765,6162.148438,35765,6890.402344,35765,5489.914063,35765,3697.289063,35765,4985.738281,35765,4481.5625,35765,6722.34375,35765,6834.382813,35765,6274.1875,35765,2800.976563,35765,6867.994531,35765,6610.304688,35765,3921.367188,35765,6386.226563,35765,6845.586719,35765,7002.441406,35765,6946.421875,35765,3361.171875,35765,8402.929688,35765,4033.40625,35765,7089.27168,35765,7058.460938,35765,3081.074219,35765,6974.431641,35765,7086.470703,35765,5938.070313,35765,1568.546875,35765,6498.265625,35765,5041.757813
35773,7512.924805,35773,7751.702637,35773,4056.979395,35773,8264.217285,35773,9240.89751,35773,5489.914063,35773,4958.530371,35773,6686.503076,35773,6010.339844,35773,9015.509766,35773,9165.768262,35773,8414.475781,35773,3756.462402,35773,9210.845811,35773,8865.25127,35773,5259.047363,35773,8564.734277,35773,9180.794111,35773,9391.156006,35773,9316.026758,35773,4507.754883,35773,11269.38721,35773,5409.305859,35773,9507.60634,35773,9466.285254,35773,4132.108643,35773,9353.591382,35773,9503.849878,35773,7963.700293,35773,2103.618945,35773,8714.992773,35773,6761.632324
35781,7512.924805,35781,7755.642578,35781,4056.979395,35781,8264.217285,35781,9240.89751,35781,7362.666309,35781,4958.530371,35781,6686.503076,35781,6010.339844,35781,9015.509766,35781,9165.768262,35781,8414.475781,35781,3756.462402,35781,9210.845811,35781,8865.25127,35781,5259.047363,35781,8564.734277,35781,9180.794111,35781,9391.156006,35781,9316.026758,35781,4507.754883,35781,11269.38721,35781,5409.305859,35781,9507.60634,35781,9466.285254,35781,4132.108643,35781,9353.591382,35781,9503.849878,35781,7963.700293,35781,2103.618945,35781,8714.992773,35781,6761.632324
35788.5,11002.91992,35788.5,11417.49902,35788.5,5941.576758,35788.5,12103.21191,35788.5,13533.5915,35788.5,7362.666309,35788.5,7261.927148,35788.5,9792.59873,35788.5,8802.335938,35788.5,13203.50391,35788.5,13423.5623,35788.5,12323.27031,35788.5,5501.459961,35788.5,13489.57982,35788.5,12983.44551,35788.5,7702.043945,35788.5,12543.32871,35788.5,13445.56814,35788.5,13753.6499,35788.5,13643.6207,35788.5,6601.751953,35788.5,16504.37988,35788.5,7922.102344,35788.5,13924.19516,35788.5,13863.6791,35788.5,6051.605957,35788.5,13698.6353,35788.5,13918.6937,35788.5,11663.09512,35788.5,3080.817578,35788.5,12763.38711,35788.5,9902.62793
35796,11002.91992,35796,11426.62305,35796,5941.576758,35796,12103.21191,35796,13533.5915,35796,10782.86152,35796,7261.927148,35796,9792.59873,35796,8802.335938,35796,13203.50391,35796,13423.5623,35796,12323.27031,35796,5501.459961,35796,13489.57982,35796,12983.44551,35796,7702.043945,35796,12543.32871,35796,13445.56814,35796,13753.6499,35796,13643.6207,35796,6601.751953,35796,16504.37988,35796,7922.102344,35796,13924.19516,35796,13863.6791,35796,6051.605957,35796,13698.6353,35796,13918.6937,35796,11663.09512,35796,3080.817578,35796,12763.38711,35796,9902.62793
