Date,History,Date00,REF,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date14,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0
35741,4347.700195,35741,3043.390137,35741,2347.758105,35741,4782.470215,35741,5347.67124,35741,4130.315185,35741,2869.482129,35741,3869.453174,35741,3478.160156,35741,5217.240234,35741,5304.194238,35741,4869.424219,35741,2173.850098,35741,5330.280439,35741,5130.28623,35741,4379.802246,35741,4956.378223,35741,5312.889639,35741,5434.625244,35741,5391.148242,35741,2608.620117,35741,6521.550293,35741,3130.344141,35741,5502.014597,35741,5478.102246,35741,2391.235107,35741,5412.886743,35741,5499.840747,35741,4434.654199,35741,3260.775146,35741,5043.332227,35741,3912.930176
35744,17390.80078,35744,12173.56055,35744,9391.032422,35744,19129.88086,35744,21390.68496,35744,16521.26074,35744,11477.92852,35744,15477.8127,35744,13912.64063,35744,20868.96094,35744,21216.77695,35744,19477.69688,35744,8695.400391,35744,21321.12176,35744,20521.14492,35744,17521.48633,35744,19825.51289,35744,21251.55855,35744,21738.50098,35744,21564.59297,35744,10434.48047,35744,26086.20117,35744,12521.37656,35744,22008.05839,35744,21912.40898,35744,9564.94043,35744,21651.54697,35744,21999.36299,35744,17738.6168,35744,13043.10059,35744,20173.32891,35744,15651.7207
35748,34781.60156,35748,24347.12109,35748,18782.06484,35748,38259.76172,35748,42781.36992,35748,33042.52148,35748,22955.85703,35748,30955.62539,35748,27825.28125,35748,41737.92188,35748,42433.55391,35748,38955.39375,35748,17390.80078,35748,42642.24352,35748,41042.28984,35748,35046.69141,35748,39651.02578,35748,42503.11711,35748,43477.00195,35748,43129.18594,35748,20868.96094,35748,52172.40234,35748,25042.75313,35748,44016.11678,35748,43824.81797,35748,19129.88086,35748,43303.09395,35748,43998.72598,35748,35477.23359,35748,26086.20117,35748,40346.65781,35748,31303.44141
35756.5,82398.20313,35756.5,57678.74219,35756.5,44495.02969,35756.5,90638.02344,35756.5,101349.7898,35756.5,78278.29297,35756.5,54382.81406,35756.5,73334.40078,35756.5,65918.5625,35756.5,98877.84375,35756.5,100525.8078,35756.5,92285.9875,35756.5,41199.10156,35756.5,101020.197,35756.5,97229.87969,35756.5,83436.28906,35756.5,93933.95156,35756.5,100690.6042,35756.5,102997.7539,35756.5,102173.7719,35756.5,49438.92188,35756.5,123597.3047,35756.5,59326.70625,35756.5,104274.9261,35756.5,103821.7359,35756.5,45319.01172,35756.5,102585.7629,35756.5,104233.727,35756.5,84046.16719,35756.5,61798.65234,35756.5,95581.91563,35756.5,74158.38281
35765,130014.8047,35765,91010.36328,35765,70207.99453,35765,143016.2852,35765,159918.2098,35765,123514.0645,35765,85809.77109,35765,115713.1762,35765,104011.8438,35765,156017.7656,35765,158618.0617,35765,145616.5813,35765,65007.40234,35765,159398.1505,35765,153417.4695,35765,131841.1094,35765,148216.8773,35765,158878.0913,35765,162518.5059,35765,161218.3578,35765,78008.88281,35765,195022.207,35765,93610.65938,35765,164533.7353,35765,163818.6539,35765,71508.14258,35765,161868.4318,35765,164468.7279,35765,132615.1008,35765,97511.10352,35765,150817.1734,35765,117013.3242
35773,190118.2031,35773,133082.7422,35773,102663.8297,35773,209130.0234,35773,233845.3898,35773,180612.2929,35773,125478.0141,35773,169205.2008,35773,152094.5625,35773,228141.8438,35773,231944.2078,35773,212932.3875,35773,95059.10156,35773,233084.917,35773,224339.4797,35773,193854.7344,35773,216734.7516,35773,232324.4442,35773,237647.7539,35773,235746.5719,35773,114070.9219,35773,285177.3047,35773,136885.1063,35773,240594.5861,35773,239548.9359,35773,104565.0117,35773,236697.1629,35773,240499.527,35773,193920.5672,35773,142588.6523,35773,220537.1156,35773,171106.3828
35781,250221.6094,35781,175155.1266,35781,135119.6691,35781,275243.7703,35781,307772.5795,35781,237710.5289,35781,165146.2622,35781,222697.2323,35781,200177.2875,35781,300265.9313,35781,305270.3634,35781,280248.2025,35781,125110.8047,35781,306771.6931,35781,295261.4991,35781,255899.875,35781,285252.6347,35781,305770.8067,35781,312777.0117,35781,310274.7956,35781,150132.9656,35781,375332.4141,35781,180159.5588,35781,316655.4467,35781,315279.2278,35781,137621.8852,35781,311525.9037,35781,316530.3359,35781,255226.0416,35781,187666.207,35781,290257.0669,35781,225199.4484
35788.5,332743.5,35788.5,232920.45,35788.5,179681.49,35788.5,366017.85,35788.5,409274.505,35788.5,316106.325,35788.5,219610.71,35788.5,296141.715,35788.5,266194.8,35788.5,399292.2,35788.5,405947.07,35788.5,372672.72,35788.5,166371.75,35788.5,407943.531,35788.5,392637.33,35788.5,341531.125,35788.5,379327.59,35788.5,406612.557,35788.5,415929.375,35788.5,412601.94,35788.5,199646.1,35788.5,499115.25,35788.5,239575.32,35788.5,421086.8993,35788.5,419256.81,35788.5,183008.925,35788.5,414265.6575,35788.5,420920.5275,35788.5,339398.37,35788.5,249557.625,35788.5,385982.46,35788.5,299469.15
35796,415265.4063,35796,290685.7844,35796,224243.3194,35796,456791.9469,35796,510776.4497,35796,394502.136,35796,274075.1681,35796,369586.2116,35796,332212.325,35796,498318.4875,35796,506623.7956,35796,465097.255,35796,207632.7031,35796,509115.3881,35796,490013.1794,35796,427230.7813,35796,473402.5631,35796,507454.3264,35796,519081.7578,35796,514929.1038,35796,249159.2438,35796,622898.1094,35796,298991.0925,35796,525518.3716,35796,523234.4119,35796,228395.9734,35796,517005.4308,35796,525310.7389,35796,423570.7144,35796,311449.0547,35796,481707.8713,35796,373738.8656
35806,578141.0625,35806,404698.7438,35806,312196.1738,35806,635955.1688,35806,711113.5069,35806,549234.0094,35806,381573.1013,35806,514545.5456,35806,462512.85,35806,693769.275,35806,705332.0963,35806,647517.99,35806,289070.5313,35806,708800.9426,35806,682206.4538,35806,597268.8125,35806,659080.8113,35806,706488.3784,35806,722676.3281,35806,716894.9175,35806,346884.6375,35806,867211.5938,35806,416261.565,35806,731637.5146,35806,728457.7388,35806,317977.5844,35806,719785.6228,35806,731348.4441,35806,589703.8838,35806,433605.7969,35806,670643.6325,35806,520326.9563
35816,741016.75,35816,518711.725,35816,400149.045,35816,815118.425,35816,911450.6025,35816,703965.9125,35816,489071.055,35816,659504.9075,35816,592813.4,35816,889220.1,35816,904040.435,35816,829938.76,35816,370508.375,35816,908486.5355,35816,874399.765,35816,767482.3125,35816,844759.095,35816,905522.4685,35816,926270.9375,35816,918860.77,35816,444610.05,35816,1111525.125,35816,533532.06,35816,937756.6971,35816,933681.105,35816,407559.2125,35816,922565.8538,35816,937386.1888,35816,755837.085,35816,555762.5625,35816,859579.43,35816,666915.075
