Date,History,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35740,271.8006287,35740,146.7723395,35740,298.9806915,35740,334.3147733,35740,266.3646161,35740,179.3884149,35740,241.9025595,35740,217.4405029,35740,326.1607544,35740,331.596767,35740,304.4167041,35740,135.9003143,35740,333.2275707,35740,320.7247418,35740,190.2604401,35740,309.8527167,35740,332.1403682,35740,339.7507858,35740,337.0327795,35740,163.0803772,35740,407.700943,35740,195.6964526,35740,343.9636956,35740,342.4687921,35740,149.4903458,35740,338.3917827,35740,343.8277953,35740,288.1086664,35740,203.8504715,35740,315.2887292,35740,244.6205658
35741,271.723999,35741,146.7309595,35741,298.8963989,35741,334.2205188,35741,266.289519,35741,179.3378394,35741,241.8343591,35741,217.3791992,35741,326.0687988,35741,331.5032788,35741,304.3308789,35741,135.8619995,35741,333.1336228,35741,320.6343188,35741,190.2067993,35741,309.7653589,35741,332.0467268,35741,339.6549988,35741,336.9377588,35741,163.0343994,35741,407.5859985,35741,195.6412793,35741,343.8667208,35741,342.3722388,35741,149.4481995,35741,338.2963788,35741,343.7308588,35741,288.027439,35741,76.08271973,35741,315.1998389,35741,244.5515991
35744,271.5331726,35744,146.6279132,35744,298.6864899,35744,333.9858023,35744,266.1025091,35744,179.2118939,35744,241.6645236,35744,217.2265381,35744,325.8398071,35744,331.2704706,35744,304.1171533,35744,135.7665863,35744,332.8996696,35744,320.4091437,35744,190.0732208,35744,309.5478168,35744,331.8135369,35744,339.4164658,35744,336.701134,35744,162.9199036,35744,407.2997589,35744,195.5038843,35744,343.6252299,35744,342.1317975,35744,149.3432449,35744,338.0587999,35744,343.4894633,35744,287.825163,35744,76.02928833,35744,314.9784802,35744,244.3798553
35748,271.3149719,35748,146.5100848,35748,298.4464691,35748,333.7174155,35748,265.8886725,35748,179.0678815,35748,241.470325,35748,217.0519775,35748,325.5779663,35748,331.0042657,35748,303.8727686,35748,135.657486,35748,332.6321556,35748,320.1516669,35748,189.9204803,35748,309.299068,35748,331.5468957,35748,339.1437149,35748,336.4305652,35748,162.7889832,35748,406.9724579,35748,195.3467798,35748,343.349097,35748,341.8568646,35748,149.2232346,35748,337.78714,35748,343.2134395,35748,287.5938702,35748,75.96819214,35748,314.7253674,35748,244.1834747
35756.5,270.7828979,35756.5,146.2227649,35756.5,297.8611877,35756.5,333.0629645,35756.5,265.3672399,35756.5,178.7167126,35756.5,240.9967792,35756.5,216.6263184,35756.5,324.9394775,35756.5,330.3551355,35756.5,303.2768457,35756.5,135.391449,35756.5,331.9798329,35756.5,319.5238196,35756.5,189.5480286,35756.5,308.6925037,35756.5,330.8967013,35756.5,338.4786224,35756.5,335.7707935,35756.5,162.4697388,35756.5,406.1743469,35756.5,194.9636865,35756.5,342.6757574,35756.5,341.1864514,35756.5,148.9305939,35756.5,337.1247079,35756.5,342.5403659,35756.5,287.0298718,35756.5,75.81921143,35756.5,314.1081616,35756.5,243.7046082
35765,270.2914429,35765,145.9573792,35765,297.3205872,35765,332.4584747,35765,264.885614,35765,178.3923523,35765,240.5593842,35765,216.2331543,35765,324.3497314,35765,329.7555603,35765,302.726416,35765,135.1457214,35765,331.377309,35765,318.9439026,35765,189.20401,35765,308.1322449,35765,330.2961432,35765,337.8643036,35765,335.1613892,35765,162.1748657,35765,405.4371643,35765,194.6098389,35765,342.053821,35765,340.567218,35765,148.6602936,35765,336.5128464,35765,341.9186752,35765,286.5089294,35765,75.681604,35765,313.5380737,35765,243.2622986
35773,269.6218872,35773,145.5958191,35773,296.5840759,35773,331.6349213,35773,264.2294495,35773,177.9504456,35773,239.9634796,35773,215.6975098,35773,323.5462646,35773,328.9387024,35773,301.9765137,35773,134.8109436,35773,330.5564337,35773,318.1538269,35773,188.735321,35773,307.3689514,35773,329.4779462,35773,337.027359,35773,334.3311401,35773,161.7731323,35773,404.4328308,35773,194.1277588,35773,341.2064983,35773,339.7235779,35773,148.292038,35773,335.6792496,35773,341.0716873,35773,285.7992004,35773,75.49412842,35773,312.7613892,35773,242.6596985
35781,268.9910278,35781,145.255155,35781,295.8901306,35781,330.8589642,35781,263.6112072,35781,177.5340784,35781,239.4020148,35781,215.1928223,35781,322.7892334,35781,328.169054,35781,301.2699512,35781,134.4955139,35781,329.7830001,35781,317.4094128,35781,188.2937195,35781,306.6497717,35781,328.707036,35781,336.2387848,35781,333.5488745,35781,161.3946167,35781,403.4865417,35781,193.67354,35781,340.4081457,35781,338.9286951,35781,147.9450653,35781,334.8938297,35781,340.2736502,35781,285.1304895,35781,75.31748779,35781,312.0295923,35781,242.091925
35788.5,268.0835876,35788.5,144.7651373,35788.5,294.8919464,35788.5,329.7428128,35788.5,262.7219158,35788.5,176.9351678,35788.5,238.594393,35788.5,214.4668701,35788.5,321.7003052,35788.5,327.0619769,35788.5,300.2536182,35788.5,134.0417938,35788.5,328.6704785,35788.5,316.3386334,35788.5,187.6585114,35788.5,305.6152899,35788.5,327.5981441,35788.5,335.1044846,35788.5,332.4236487,35788.5,160.8501526,35788.5,402.1253815,35788.5,193.0201831,35788.5,339.2597802,35788.5,337.7853204,35788.5,147.4459732,35788.5,333.7640666,35788.5,339.1257384,35788.5,284.1686029,35788.5,75.06340454,35788.5,310.9769617,35788.5,241.2752289
35796,267.2447205,35796,144.312149,35796,293.9691925,35796,328.7110062,35796,261.8998261,35796,176.3815155,35796,237.8478012,35796,213.7957764,35796,320.6936646,35796,326.038559,35796,299.3140869,35796,133.6223602,35796,327.6420273,35796,315.3487701,35796,187.0713043,35796,304.6589813,35796,326.5730484,35796,334.0559006,35796,331.3834534,35796,160.3468323,35796,400.8670807,35796,192.4161987,35796,338.1981937,35796,336.7283478,35796,146.9845963,35796,332.719677,35796,338.0645714,35796,283.2794037,35796,74.82852173,35796,310.0038757,35796,240.5202484
