Date,History,Date00,REF,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0
35741,0,35741,0.001037314,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0
35744,0,35744,0.001028183,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0
35748,0,35748,0.001027676,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0
35756.5,0,35756.5,0.00103008,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0
35765,0,35765,0.001033537,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0
35773,0,35773,0.000884817,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0
35781,0,35781,0.000893566,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0
35788.5,0,35788.5,0.000794244,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0
35796,0,35796,0.000822242,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0
