Date,History,Date00,REF,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0,35740,0
35741,0,35741,4.54794693,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0,35741,0
35744,0,35744,18.07390785,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0,35744,0
35748,0,35748,36.10266876,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0,35748,0
35756.5,0,35756.5,85.99921417,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0,35756.5,0
35765,0,35765,136.0791321,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0,35765,0
35773,0,35773,190.9984589,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0,35773,0
35781,0,35781,246.4894562,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0,35781,0
35788.5,0,35788.5,314.5555725,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0,35788.5,0
35796,0,35796,385.0794373,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0,35796,0
35806,0,35806,563.6333618,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0,35806,0
35816,0,35816,746.8492432,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0,35816,0
35821.5,0,35821.5,848.4536133,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0,35821.5,0
35827,0,35827,950.4934082,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0,35827,0
35837,0,35837,957.8571777,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0,35837,0
35846,0,35846,965.2919922,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0,35846,0
35855,0,35855,973.2965088,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0,35855,0
35865,0,35865,1104.752197,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0,35865,0
35874,0,35874,1224.357056,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0,35874,0
35883,0,35883,1345.351685,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0,35883,0
35884,0,35884,1366.101196,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0,35884,0
35886,0,35886,1412.272095,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0,35886,0
35892,0,35892,1547.457153,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0,35892,0
35900,0,35900,1730.805542,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0,35900,0
35908,0,35908,1917.313965,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0,35908,0
35916,0,35916,2121.304443,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0,35916,0
35926,0,35926,2388.073486,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0,35926,0
35933.5,0,35933.5,2592.718994,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0,35933.5,0
35941,0,35941,2800.358887,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0,35941,0
35942,0,35942,2829.35498,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0,35942,0
35943.25,0,35943.25,2863.148926,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0,35943.25,0
35944.8125,0,35944.8125,2905.465576,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0,35944.8125,0
35945.90625,0,35945.90625,2935.128906,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0,35945.90625,0
35947,0,35947,2964.834717,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0,35947,0
35948.36719,0,35948.36719,3003.130859,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0,35948.36719,0
35950.07617,0,35950.07617,3051.123291,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0,35950.07617,0
35952.2124,0,35952.2124,3111.290283,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0,35952.2124,0
35954.88269,0,35954.88269,3186.756592,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0,35954.88269,0
35957.44135,0,35957.44135,3259.310059,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0,35957.44135,0
35960,0,35960,3332.11792,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0,35960,0
35963.19832,0,35963.19832,3436.113037,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0,35963.19832,0
